SaleID,SaleDate,ProductID,Quantity,TotalPrice,CustomerID,StoreID,Profit
SALE0100000,2025-01-08,P1387,5,3268.7,CUST00974,STORE002,686.1409023526462
SALE0100001,2025-04-27,P1904,3,2387.91,CUST00887,STORE001,562.6734023289849
SALE0100002,2025-02-02,P1894,3,6662.88,CUST00024,STORE006,1602.7502774511274
SALE0100003,2025-04-03,P2129,2,2155.18,CUST00969,STORE009,352.24991578874904
SALE0100004,2025-04-17,P2336,4,267.28,CUST00655,STORE005,60.33328086098579
SALE0100005,2025-01-17,P1490,4,2072.84,CUST00221,STORE009,378.4034611222168
SALE0100006,2025-01-18,P1050,3,1262.25,CUST00210,STORE006,247.08216127151923
SALE0100007,2025-04-15,P1758,5,311.1,CUST00634,STORE003,70.48001974504474
SALE0100008,2025-04-27,P2331,2,1708.66,CUST00861,STORE010,262.5289713800901
SALE0100009,2025-06-07,P1718,3,3113.58,CUST00849,STORE001,537.8615112299624
SALE0100010,2025-06-24,P1924,2,5345.14,CUST00066,STORE003,1333.009201158838
SALE0100011,2025-04-11,P1335,4,4048.72,CUST00152,STORE008,736.3285508754265
SALE0100012,2025-02-02,P2015,5,4377.2,CUST00367,STORE007,1037.1815086329764
SALE0100013,2025-01-31,P1913,5,1868.35,CUST00819,STORE009,362.3431130972723
SALE0100014,2025-01-05,P1604,5,43966.65,CUST00716,STORE002,9825.345769465837
SALE0100015,2025-02-14,P2124,5,2561.4,CUST00707,STORE001,484.39528687004724
SALE0100016,2025-01-09,P1946,1,461.63,CUST00520,STORE001,106.1303927973263
SALE0100017,2025-02-05,P1373,3,805.11,CUST00180,STORE001,179.49146805946128
SALE0100018,2025-05-05,P1601,5,1303.65,CUST00422,STORE002,269.01303093916965
SALE0100019,2025-03-06,P2419,3,7997.34,CUST00381,STORE007,1735.7807535382506
SALE0100020,2025-02-24,P1652,1,196.37,CUST00625,STORE006,30.29714545173842
SALE0100021,2025-03-25,P1114,3,794.94,CUST00638,STORE004,187.2864556232473
