SaleID,SaleDate,ProductID,Quantity,TotalPrice,CustomerID,StoreID
SALE0100000,2025-01-08,P1387,5,3268.7,CUST00974,STORE002
SALE0100001,2025-04-27,P1904,3,2387.91,CUST00887,STORE001
SALE0100002,2025-02-02,P1894,3,6662.88,CUST00024,STORE006
SALE0100003,2025-04-03,P2129,2,2155.18,CUST00969,STORE009
SALE0100004,2025-04-17,P2336,4,267.28,CUST00655,STORE005
SALE0100005,2025-01-17,P1490,4,2072.84,CUST00221,STORE009
SALE0100006,2025-01-18,P1050,3,1262.25,CUST00210,STORE006
SALE0100007,2025-04-15,P1758,5,311.1,CUST00634,STORE003
SALE0100008,2025-04-27,P2331,2,1708.66,CUST00861,STORE010
SALE0100009,2025-06-07,P1718,3,3113.58,CUST00849,STORE001
SALE0100010,2025-06-24,P1924,2,5345.14,CUST00066,STORE003
SALE0100011,2025-04-11,P1335,4,4048.72,CUST00152,STORE008
SALE0100012,2025-02-02,P2015,5,4377.2,CUST00367,STORE007
SALE0100013,2025-01-31,P1913,5,1868.35,CUST00819,STORE009
SALE0100014,2025-01-05,P1604,5,43966.65,CUST00716,STORE002
SALE0100015,2025-02-14,P2124,5,2561.4,CUST00707,STORE001
SALE0100016,2025-01-09,P1946,1,461.63,CUST00520,STORE001
SALE0100017,2025-02-05,P1373,3,805.11,CUST00180,STORE001
SALE0100018,2025-05-05,P1601,5,1303.65,CUST00422,STORE002
SALE0100019,2025-03-06,P2419,3,7997.34,CUST00381,STORE007
SALE0100020,2025-02-24,P1652,1,196.37,CUST00625,STORE006
SALE0100021,2025-03-25,P1114,3,794.94,CUST00638,STORE004
SALE0100022,2025-04-23,P1213,4,1880.12,CUST00894,STORE010
SALE0100023,2025-04-08,P1328,5,6182.85,CUST00494,STORE007
SALE0100024,2025-06-08,P1444,5,570.15,CUST00433,STORE002
SALE0100025,2025-02-11,P2257,1,660.71,CUST00442,STORE006
SALE0100026,2025-06-07,P1965,4,2824.28,CUST00127,STORE008
SALE0100027,2025-04-08,P2371,2,334.32,CUST00994,STORE007
SALE0100028,2025-05-03,P1517,3,6298.86,CUST00330,STORE006
SALE0100029,2025-05-19,P1567,1,2435.34,CUST00927,STORE010
SALE0100030,2025-05-05,P1931,5,292.7,CUST00959,STORE008
SALE0100031,2025-06-17,P2242,1,799.78,CUST00822,STORE008
SALE0100032,2025-06-28,P1938,3,447.57,CUST00273,STORE007
SALE0100033,2025-01-20,P1863,3,2613.03,CUST00617,STORE006
SALE0100034,2025-06-24,P1616,3,4008.06,CUST00858,STORE005
SALE0100035,2025-03-25,P1746,5,7624.6,CUST00818,STORE001
SALE0100036,2025-01-15,P2474,5,6595.05,CUST00416,STORE007
SALE0100037,2025-04-30,P1988,4,92392.16,CUST00925,STORE010
SALE0100038,2025-06-09,P1734,3,84.36,CUST00226,STORE010
SALE0100039,2025-04-20,P1000,1,1432.27,CUST00803,STORE004
SALE0100040,2025-01-21,P2071,2,2707.86,CUST00467,STORE002
SALE0100041,2025-05-22,P1547,3,1823.31,CUST00405,STORE010
SALE0100042,2025-05-23,P1102,4,12338.68,CUST00683,STORE002
SALE0100043,2025-04-05,P1435,4,270462.44,CUST00292,STORE007
SALE0100044,2025-01-08,P1022,4,4005.64,CUST00546,STORE007
SALE0100045,2025-01-17,P2161,4,1472.64,CUST00802,STORE008
SALE0100046,2025-03-31,P1522,3,2647.17,CUST00313,STORE009
SALE0100047,2025-06-12,P2333,4,242210.12,CUST00689,STORE007
SALE0100048,2025-06-07,P2466,5,3361.1,CUST00276,STORE006
SALE0100049,2025-01-01,P1750,4,2901.2,CUST00962,STORE005
SALE0100050,2025-03-17,P1142,1,2032.22,CUST00086,STORE007
SALE0100051,2025-06-13,P1870,5,2271.95,CUST00749,STORE001
SALE0100052,2025-01-18,P2262,4,2027.72,CUST00138,STORE002
SALE0100053,2025-01-30,P2395,2,3768.76,CUST00523,STORE005
SALE0100054,2025-06-27,P2394,2,2224.6,CUST00982,STORE002
SALE0100055,2025-04-01,P1485,3,1535.88,CUST00461,STORE004
SALE0100056,2025-03-03,P1978,3,51567.75,CUST00626,STORE005
SALE0100057,2025-06-10,P1914,1,1424.71,CUST00949,STORE009
